	own_sku	ean_list	content	content_unit	description	temperature_zone	shelf_life	volume_mm3	brutto_weight	brutto_weight_unit
2172	K9aRM	{1077044265621208, 1077044265083754, 1077044265580420, 1077044265621215}	1077044265580420	0230 Hond nat	ALU HOND KIP/KALKOEN	ambient	0	300000.0	162.0	GR
2173	K9aRM	{1077044265621208, 1077044265083754, 1077044265580420, 1077044265621215}	1077044265621215	0230 Hond nat	ALU HOND KIP/KALKOEN	ambient	0	300000.0	162.0	GR
2174	K9aRM	{1077044265621208, 1077044265083754, 1077044265580420, 1077044265621215}	1079334641575675	0230 Hond nat	ALU HOND KIP/KALKOEN	ambient	0	300000.0	162.0	GR
2175	a854p	{1077044265628955, 1077044265628948, 1077044265865879}	1077044265628955	0181 Koffiecreamers	KOFFIE CREAMER	ambient	0	1156000.0	433	GR
2176	a854p	{1077044265628955, 1077044265628948, 1077044265865879}	1079334641575675	0181 Koffiecreamers	KOFFIE CREAMER	ambient	0	1156000.0	433	GR
2177	oAzRd	{1077044265026706, 1077044265011702}	1077044265026706	0113 Appelmoes	APPELMOES 1/3	ambient	0	758625.0	538	GR
2178	704MO	{1077044265011757, 1077044265026751}	1077044265026751	0113 Appelmoes	APPELMOES 3/4	ambient	0	1300000.0	1002.0	GR
2179	jY57z	{1077044265011177, 1077044265015441}	1077044265011177	0042 Tafelzuren	AUGURKEN GROOT	ambient	0	2592000.0	2336.0	GR
2180	K9aKM	{1077044265655784, 1077044265075698, 1077044265504662, 1077044265655791}	1077044265504662	0021 Oploskoffie & koffiestr.	CAPPUCCINO	ambient	0	1282500.0	287.0	GR
2181	K9aKM	{1077044265655784, 1077044265075698, 1077044265504662, 1077044265655791}	1077044265655791	0021 Oploskoffie & koffiestr.	CAPPUCCINO	ambient	0	1282500.0	287.0	GR
2182	qVzq8	{1077044099590800, 1077044265655777, 1077044265075674, 1077044265504778, 1077044265655661}	1077044265504778	0021 Oploskoffie & koffiestr.	WIENER MELANGE	ambient	0	2376000.0	345.0	GR
2183	qVzq8	{1077044099590800, 1077044265655777, 1077044265075674, 1077044265504778, 1077044265655661}	1077044265655777	0021 Oploskoffie & koffiestr.	WIENER MELANGE	ambient	0	2376000.0	345.0	GR
2184	ywzdQ	{1077044265655210, 1077044265655203, 1077044265075612, 1077044265075629}	1077044265075629	0025 Cacaopoeder & instant	HOT CHOCOLATE	ambient	0	1890000.0	412	GR
